fabricante,local_empresa,ano_revisado,origem,cacau_percent,num_ingredientes,classificacao
5150,U.S.A.,2019,Tanzania,76,3,3.25
5150,U.S.A.,2019,Dominican Republic,76,3,3.5
5150,U.S.A.,2019,Madagascar,76,3,3.75
5150,U.S.A.,2021,Fiji,68,3,3
5150,U.S.A.,2021,Venezuela,72,3,3
5150,U.S.A.,2021,Uganda,80,3,3.25
5150,U.S.A.,2021,India,68,3,3.5
A. Morin,France,2012,Bolivia,70,4,3.5
A. Morin,France,2012,Peru,63,4,3.75
A. Morin,France,2013,Panama,70,4,2.75
A. Morin,France,2013,Colombia,70,4,2.75
A. Morin,France,2013,Madagascar,70,4,3
A. Morin,France,2013,Burma,70,4,3
A. Morin,France,2013,Brazil,70,4,3.25
A. Morin,France,2013,Papua New Guinea,70,4,3.25
A. Morin,France,2013,Peru,70,4,3.25
A. Morin,France,2013,Peru,70,4,3.5
A. Morin,France,2013,Ecuador,70,4,3.75
A. Morin,France,2013,Venezuela,70,4,4
A. Morin,France,2013,Peru,63,3,4
A. Morin,France,2014,Venezuela,70,4,2.75
A. Morin,France,2014,Cuba,70,4,3.5
A. Morin,France,2014,Venezuela,70,4,3.5
A. Morin,France,2014,Venezuela,70,4,3.75
A. Morin,France,2014,Peru,70,4,4
A. Morin,France,2015,Togo,70,4,2.75
A. Morin,France,2015,Togo,70,4,3
A. Morin,France,2015,Togo,70,4,3.5
A. Morin,France,2015,Peru,70,4,3.5
A. Morin,France,2016,Sao Tome,63,4,3.75
A. Morin,France,2018,Venezuela,70,4,3.5
A. Morin,France,2018,Peru,63,4,3.75
A. Morin,France,2021,Mexico,70,4,4
Acalli,U.S.A.,2015,Peru,70,2,3.75
Acalli,U.S.A.,2015,Peru,70,2,3.75
Acalli,U.S.A.,2020,Mexico,74,2,3.25
Acalli,U.S.A.,2020,Peru,70,2,3.5
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,60,3,2.75
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,80,3,3.25
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,88,3,3.5
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,72,3,3.5
Aelan,Vanuatu,2019,Vanuatu,70,2,2.5
Aelan,Vanuatu,2019,Vanuatu,70,2,2.75
Aelan,Vanuatu,2019,Vanuatu,70,2,2.75
Aelan,Vanuatu,2019,Vanuatu,70,2,3
Aequare (Gianduja),Ecuador,2009,Ecuador,55,4,2.75
Aequare (Gianduja),Ecuador,2009,Ecuador,70,4,3
Ah Cacao,Mexico,2009,Mexico,70,3,3
Akesson's (Pralus),U.K.,2010,Madagascar,75,4,2.75
Akesson's (Pralus),U.K.,2010,Brazil,75,4,2.75
Akesson's (Pralus),U.K.,2011,Indonesia,75,4,3.75
Alain Ducasse,France,2013,Venezuela,75,5,2.5
Alain Ducasse,France,2013,Peru,75,5,2.5
Alain Ducasse,France,2014,Trinidad,65,6,2.75
Alain Ducasse,France,2014,Vietnam,75,5,2.75
Alain Ducasse,France,2014,Madagascar,75,5,3
Alain Ducasse,France,2017,Mexico,75,6,3.5
Alexandre,Netherlands,2017,Ecuador,70,3,3.5
Alexandre,Netherlands,2017,Nicaragua,70,3,3.5
Alexandre,Netherlands,2017,Tanzania,70,3,3.5
Alexandre,Netherlands,2017,Vietnam,70,3,3.5
Altus aka Cao Artisan,U.S.A.,2013,Venezuela,60,4,2.5
Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,60,4,3
Altus aka Cao Artisan,U.S.A.,2013,Bolivia,60,4,3
Altus aka Cao Artisan,U.S.A.,2013,Bolivia,80,4,3.25
Altus aka Cao Artisan,U.S.A.,2013,Peru,60,4,3.25
Altus aka Cao Artisan,U.S.A.,2016,Bolivia,60,3,2.5
Altus aka Cao Artisan,U.S.A.,2016,Peru,60,3,2.5
Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,60,3,2.75
Altus aka Cao Artisan,U.S.A.,2016,Ecuador,60,3,2.75
Altus aka Cao Artisan,U.S.A.,2016,Peru,60,3,3
Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,70,3,3
Amano,U.S.A.,2007,Venezuela,70,4,3
Amano,U.S.A.,2007,Madagascar,70,4,3.5
Amano,U.S.A.,2007,Venezuela,70,4,3.75
Amano,U.S.A.,2008,Indonesia,70,4,2.75
Amano,U.S.A.,2009,Venezuela,70,4,3
Amano,U.S.A.,2010,Venezuela,70,4,3
Amano,U.S.A.,2010,Dominican Republic,70,4,3.75
Amano,U.S.A.,2010,Ecuador,70,4,4
Amano,U.S.A.,2011,Papua New Guinea,70,4,4
Amatller (Simon Coll),Spain,2009,Ecuador,70,2,2.75
Amatller (Simon Coll),Spain,2009,Ecuador,85,2,2.75
Amatller (Simon Coll),Spain,2009,Ghana,70,2,3
Amatller (Simon Coll),Spain,2009,Ghana,85,2,3
Amazing Cacao,Russia,2017,Peru,70,NA,3
Amazing Cacao,Russia,2017,Peru,70,NA,3.5
Amazona,Peru,2013,Peru,72,3,3.25
Amazona,Peru,2013,Peru,73,3,3.5
Ambrosia,Canada,2015,Belize,64,4,3
Ambrosia,Canada,2015,Madagascar,66,2,3.25
Ambrosia,Canada,2015,Dominican Republic,75,2,3.25
Ambrosia,Canada,2015,Papua New Guinea,63,2,3.25
Ambrosia,Canada,2015,Venezuela,70,2,3.25
Ambrosia,Canada,2015,Peru,68,2,3.5
Amedei,Italy,2006,Blend,66,4,3.75
Amedei,Italy,2007,Ecuador,70,4,3
Amedei,Italy,2007,Jamaica,70,4,3
Amedei,Italy,2007,Grenada,70,4,3.5
Amedei,Italy,2007,Trinidad,70,4,3.5
Amedei,Italy,2007,Blend,63,4,3.5
Amedei,Italy,2007,Venezuela,70,4,3.75
Amedei,Italy,2012,Peru,70,4,3.75
Amedei,Italy,2018,Madagascar,70,4,3
Amedei,Italy,2018,Venezuela,70,4,3
Amedei,Italy,2018,Venezuela,70,4,3
Amedei,Italy,2018,Blend,75,4,3.5
Amedei,Italy,2019,Blend,70,3,2.75
AMMA,Brazil,2010,Brazil,85,4,2.75
AMMA,Brazil,2010,Brazil,50,4,3.75
AMMA,Brazil,2010,Brazil,75,4,3.75
AMMA,Brazil,2010,Brazil,60,4,4
AMMA,Brazil,2013,Brazil,75,4,3.25
Anahata,U.S.A.,2014,Dominican Republic,75,2,3
Animas,U.S.A.,2016,Bolivia,75,2,3.5
Animas,U.S.A.,2021,Belize,75,2,3
Animas,U.S.A.,2021,Guatemala,75,2,3.25
Ara,France,2014,Mexico,72,3,2.5
Ara,France,2014,Ecuador,75,3,2.75
Ara,France,2014,Madagascar,75,3,3
Ara,France,2014,Venezuela,75,3,3
Arete,U.S.A.,2015,Brazil,75,2,2.75
Arete,U.S.A.,2015,Guatemala,70,2,3.25
Arete,U.S.A.,2015,Brazil,70,2,3.5
Arete,U.S.A.,2015,Peru,68,2,3.5
Arete,U.S.A.,2015,Dominican Republic,70,2,3.5
Arete,U.S.A.,2015,Ecuador,75,3,3.5
Arete,U.S.A.,2015,Ecuador,70,2,3.75
Arete,U.S.A.,2015,Belize,70,2,3.75
Arete,U.S.A.,2015,Nicaragua,70,2,4
Arete,U.S.A.,2016,Ecuador,70,3,3.25
Arete,U.S.A.,2016,Ecuador,70,3,3.25
Arete,U.S.A.,2016,Fiji,70,2,3.25
Arete,U.S.A.,2016,Vietnam,73,2,3.25
Arete,U.S.A.,2016,Trinidad,70,2,3.5
Arete,U.S.A.,2016,Vietnam,73,3,3.5
Arete,U.S.A.,2016,Guatemala,70,2,3.5
Arete,U.S.A.,2016,Honduras,70,2,3.5
Arete,U.S.A.,2016,Tanzania,70,2,3.75
Arete,U.S.A.,2016,Nicaragua,70,3,3.75
Arete,U.S.A.,2016,Dominican Republic,70,2,3.75
Arete,U.S.A.,2016,Costa Rica,70,2,4
Arete,U.S.A.,2016,Peru,70,2,4
Arete,U.S.A.,2017,India,70,2,3.5
Arete,U.S.A.,2017,Madagascar,70,3,3.5
Arete,U.S.A.,2017,Vietnam,73,3,3.5
Arete,U.S.A.,2017,Peru,70,3,3.5
Arete,U.S.A.,2017,Bolivia,70,2,4
Arete,U.S.A.,2017,Haiti,70,2,4
Arete,U.S.A.,2018,Trinidad,70,2,3
Arete,U.S.A.,2018,Colombia,70,2,4
Arete,U.S.A.,2019,India,70,3,3
Arete,U.S.A.,2019,India,70,3,3.25
Argencove,Nicaragua,2018,Nicaragua,70,2,3
Argencove,Nicaragua,2018,Nicaragua,70,2,3.25
Argencove,Nicaragua,2018,Nicaragua,70,2,3.5
Argencove,Nicaragua,2018,Nicaragua,70,2,3.5
Artisan du Chocolat,U.K.,2008,Congo,72,3,3.75
Artisan du Chocolat,U.K.,2009,Brazil,72,3,1.75
Artisan du Chocolat,U.K.,2009,Venezuela,75,3,2.5
Artisan du Chocolat,U.K.,2009,Indonesia,72,3,2.75
Artisan du Chocolat,U.K.,2009,Madagascar,80,3,3
Artisan du Chocolat,U.K.,2009,Peru,75,3,3
Artisan du Chocolat,U.K.,2009,Dominican Republic,72,3,3.25
Artisan du Chocolat,U.K.,2010,Venezuela,100,NA,1.75
Artisan du Chocolat,U.K.,2010,Costa Rica,72,3,3.25
Artisan du Chocolat,U.K.,2010,Vietnam,72,3,3.25
Artisan du Chocolat,U.K.,2010,Indonesia,72,3,3.5
Artisan du Chocolat,U.K.,2010,Jamaica,72,3,3.75
Artisan du Chocolat,U.K.,2011,Panama,72,3,2.75
Artisan du Chocolat,U.K.,2011,Haiti,72,3,4
Artisan du Chocolat,U.K.,2012,Colombia,72,3,3.75
Artisan du Chocolat,U.K.,2013,Trinidad,72,3,3.25
Artisan du Chocolat (Casa Luker),U.K.,2013,Colombia,72,4,2.75
Aruntam,Italy,2021,India,72,4,3.25
Aruntam,Italy,2021,Madagascar,72,4,3.25
Aruntam,Italy,2021,Tanzania,72,4,3.5
Askinosie,U.S.A.,2007,Mexico,75,2,2.5
Askinosie,U.S.A.,2007,Ecuador,70,2,3
Askinosie,U.S.A.,2009,Philippines,77,2,3.75
Askinosie,U.S.A.,2011,Tanzania,72,2,3.75
Askinosie,U.S.A.,2011,Honduras,70,2,3.75
Askinosie,U.S.A.,2016,Tanzania,68,3,3.75
Atypic,Australia,2019,Solomon Islands,70,4,3
Auro,Philippines,2018,Philippines,77,4,2.75
Auro,Philippines,2018,Philippines,70,3,3
Auro,Philippines,2018,Philippines,70,3,3
Auro,Philippines,2018,Philippines,70,3,3.5
Avanaa,Canada,2021,Colombia,70,2,2.5
Avanaa,Canada,2021,Dominican Republic,70,2,3
Bahen & Co.,Australia,2012,Brazil,70,2,2.5
Bahen & Co.,Australia,2012,Blend,70,2,2.5
Bahen & Co.,Australia,2012,Madagascar,70,2,3
Bahen & Co.,Australia,2015,Blend,80,2,3.25
Bahen & Co.,Australia,2015,Papua New Guinea,70,2,3.5
Baiani,Brazil,2018,Brazil,70,2,3
Bakau,Peru,2015,Peru,70,3,2.75
Bakau,Peru,2015,Peru,70,3,3.5
Bankston,U.S.A.,2019,Belize,72,3,2.5
Bankston,U.S.A.,2019,Uganda,82,3,2.75
Bankston,U.S.A.,2019,Tanzania,72,3,3.25
Bar Au Chocolat,U.S.A.,2012,Dominican Republic,70,2,3.25
Bar Au Chocolat,U.S.A.,2012,Mexico,70,2,3.5
Bar Au Chocolat,U.S.A.,2012,Madagascar,70,2,3.75
Bar Au Chocolat,U.S.A.,2014,Peru,70,2,4
Bar Au Chocolat,U.S.A.,2015,Brazil,70,2,3.5
Bar Au Chocolat,U.S.A.,2017,Costa Rica,72,2,3.5
Bar Au Chocolat,U.S.A.,2017,Trinidad,80,2,3.5
Baravelli's,Wales,2012,Costa Rica,80,4,2.75
Batch,U.S.A.,2016,Ecuador,65,3,3.25
Batch,U.S.A.,2016,Dominican Republic,65,3,3.5
Batch,U.S.A.,2016,Brazil,70,3,3.75
Bean,U.K.,2019,Peru,70,4,2.25
Beau Cacao,U.K.,2017,Malaysia,73,3,3
Beau Cacao,U.K.,2017,Malaysia,72,3,3.25
Beehive,U.S.A.,2016,Brazil,80,3,2.75
Beehive,U.S.A.,2016,Dominican Republic,70,3,2.75
Beehive,U.S.A.,2016,Ecuador,70,3,2.75
Beehive,U.S.A.,2016,Ecuador,90,3,2.75
